,reply
0,좋은 정책입니다!
1,"솔직히 휴대폰 기지국만 뒤져도 동거인여부 나오는데 ... 개인정보니 뭐니해서 악용하니 사랑해서 결혼 하고 순진하게 혼인신고 한사람들만 손해다.

제대로 패널티 10년 재당첨제한 먹이고 전부 이자까지 쳐서 갚아내게 해야 근절됨"
2,"꼬시다, 이건 잘했다, 근데 외국인들이 특히 중국인 무자비하게 부동산 사들이는건 어떻게 막을 생각 없는건가?? 자국민만 엄하게 하지말고"
3,"전과4범, 쌍욕쟁이 리재명도 검찰수사도 안받고 잘지내는데, 평생 일해도 아파트 하나 못사게된 한국에서.. 청약부정은 부정행위라 하기도 민망하다"
4,그냥 청약을 모두 추첨제로 하라고...저건 재산인데 왜 애많다고 신혼부부라고 우선순위가 있니
5,"못된것들 !!!!  그렇게들 부정하게  꽁수피워   돈들  버는구만   !!!!!
난    안하구  순리대로 정직하게    살아  가련다  !!!!!"
6,어찌 사람들이 저리들 똑똑할까. 하지마라야 하는건 참열심히 잔찾아서 하네 못하는 내가 이상한걸까 싶네요 ㅎㅎㅎ
7,그래서 돈많이 버셨고? 그래서 행복하시고?
8,정치인도  정직하게 살아보자ㆍ불법 투성 나라 만드는 사람  다 쳐 넣어라
9,좋은쪽에 대가리를 써서 성공할생각을해야지 에휴 이러니 개판이지
10,재주들이   --
11,강력하게 처벌해야합니다.
12,
13,미래 세대 좀 생각해서 법안 발의 해라.. 지들은 이민가면 그만이니 저딴식으로 발의하는거야?
14,"뭔소리냐 복지수당 자체가 포퓰리지즘 인데 ㅋ 신도시 1.2기 특별법은 여아가 다 대선때 주장한 민생법안이다
 안철수 신도시법 적극 찬성한다 민생을 우선 챙기시는 안철수 파이팅"
15,여야 포퓰리즘 심각합니다. 입법화 시끄럽죠. 당리당략에 국민만 연거푸 희생양 삼지마라. 총선 승리가 해답입니다. 여당이 아무것도 못하는 사태는 말아야 합니다. 안철수 당대표 되어 국민의힘을 부민강국 만듭시다. 협치는 꼭해야 합니다.
16,아동수당확대하고.다자녀는 인센티브부여해주세요.
17,정부는 못까니 이젠 야당을 까니? 벼룩시장을 더 많이 보지 않을까?
18,대통령실 이전과 관저에는 펑펑 쓰면서 월급쟁이들 청년 노인층 복지는 다 없애버림 이 정도면 조선시대 폭군 수준 아님? 끌어내려도 할 말 있음?
